
Test set: Average loss: 0.9752, Accuracy: 6192/8871 (70%)


Test set: Average loss: 0.9884, Accuracy: 6283/8871 (71%)


Test set: Average loss: 0.9623, Accuracy: 6270/8871 (71%)


Test set: Average loss: 0.9657, Accuracy: 6257/8871 (71%)


Test set: Average loss: 0.9812, Accuracy: 6241/8871 (70%)


Test set: Average loss: 0.9751, Accuracy: 6402/8871 (72%)


Test set: Average loss: 0.9906, Accuracy: 6355/8871 (72%)


Test set: Average loss: 0.9773, Accuracy: 6277/8871 (71%)


Test set: Average loss: 0.9912, Accuracy: 6320/8871 (71%)


Test set: Average loss: 0.9762, Accuracy: 6388/8871 (72%)


Test set: Average loss: 1.0054, Accuracy: 6382/8871 (72%)


Test set: Average loss: 0.9747, Accuracy: 6295/8871 (71%)


Test set: Average loss: 0.9866, Accuracy: 6308/8871 (71%)


Test set: Average loss: 0.9932, Accuracy: 6112/8871 (69%)


Test set: Average loss: 0.9828, Accuracy: 6241/8871 (70%)


Test set: Average loss: 1.0049, Accuracy: 6397/8871 (72%)


Test set: Average loss: 0.9909, Accuracy: 6219/8871 (70%)


Test set: Average loss: 1.0119, Accuracy: 6061/8871 (68%)


Test set: Average loss: 0.9916, Accuracy: 6299/8871 (71%)


Test set: Average loss: 0.9973, Accuracy: 6245/8871 (70%)


Test set: Average loss: 0.9947, Accuracy: 6239/8871 (70%)


Test set: Average loss: 1.0256, Accuracy: 6049/8871 (68%)


Test set: Average loss: 1.0034, Accuracy: 6139/8871 (69%)


Test set: Average loss: 1.0070, Accuracy: 6097/8871 (69%)


Test set: Average loss: 0.9898, Accuracy: 6202/8871 (70%)


Test set: Average loss: 1.0181, Accuracy: 6177/8871 (70%)


Test set: Average loss: 1.0024, Accuracy: 6296/8871 (71%)


Test set: Average loss: 1.0112, Accuracy: 6351/8871 (72%)


Test set: Average loss: 1.0145, Accuracy: 6335/8871 (71%)


Test set: Average loss: 1.0095, Accuracy: 6233/8871 (70%)


Test set: Average loss: 1.0191, Accuracy: 6314/8871 (71%)


Test set: Average loss: 1.0153, Accuracy: 6275/8871 (71%)


Test set: Average loss: 1.0175, Accuracy: 6283/8871 (71%)


Test set: Average loss: 1.0124, Accuracy: 6257/8871 (71%)


Test set: Average loss: 1.0353, Accuracy: 6282/8871 (71%)


Test set: Average loss: 1.0322, Accuracy: 6235/8871 (70%)


Test set: Average loss: 1.0136, Accuracy: 6171/8871 (70%)


Test set: Average loss: 1.0195, Accuracy: 6285/8871 (71%)


Test set: Average loss: 1.0290, Accuracy: 6249/8871 (70%)


Test set: Average loss: 1.0242, Accuracy: 6129/8871 (69%)


Test set: Average loss: 1.0197, Accuracy: 6126/8871 (69%)


Test set: Average loss: 1.0343, Accuracy: 6142/8871 (69%)


Test set: Average loss: 1.0184, Accuracy: 6284/8871 (71%)


Test set: Average loss: 1.0270, Accuracy: 6224/8871 (70%)


Test set: Average loss: 1.0568, Accuracy: 6011/8871 (68%)


Test set: Average loss: 1.0448, Accuracy: 6171/8871 (70%)


Test set: Average loss: 1.0349, Accuracy: 6294/8871 (71%)


Test set: Average loss: 1.0339, Accuracy: 6193/8871 (70%)


Test set: Average loss: 1.0336, Accuracy: 6318/8871 (71%)


Test set: Average loss: 1.0292, Accuracy: 6284/8871 (71%)


Test set: Average loss: 1.0507, Accuracy: 6292/8871 (71%)


Test set: Average loss: 1.0341, Accuracy: 6296/8871 (71%)


Test set: Average loss: 1.0498, Accuracy: 6225/8871 (70%)


Test set: Average loss: 1.0569, Accuracy: 6351/8871 (72%)


Test set: Average loss: 1.0440, Accuracy: 6274/8871 (71%)


Test set: Average loss: 1.0610, Accuracy: 6177/8871 (70%)


Test set: Average loss: 1.0543, Accuracy: 6287/8871 (71%)


Test set: Average loss: 1.0463, Accuracy: 6151/8871 (69%)


Test set: Average loss: 1.0407, Accuracy: 6196/8871 (70%)


Test set: Average loss: 1.0572, Accuracy: 6260/8871 (71%)


Test set: Average loss: 1.0562, Accuracy: 6225/8871 (70%)


Test set: Average loss: 1.0545, Accuracy: 6105/8871 (69%)


Test set: Average loss: 1.0533, Accuracy: 6146/8871 (69%)


Test set: Average loss: 1.0414, Accuracy: 6199/8871 (70%)


Test set: Average loss: 1.0708, Accuracy: 6083/8871 (69%)


Test set: Average loss: 1.0583, Accuracy: 6204/8871 (70%)


Test set: Average loss: 1.0702, Accuracy: 6147/8871 (69%)


Test set: Average loss: 1.0689, Accuracy: 6241/8871 (70%)


Test set: Average loss: 1.0595, Accuracy: 6232/8871 (70%)


Test set: Average loss: 1.0663, Accuracy: 6183/8871 (70%)


Test set: Average loss: 1.0631, Accuracy: 6094/8871 (69%)


Test set: Average loss: 1.0711, Accuracy: 6269/8871 (71%)


Test set: Average loss: 1.0586, Accuracy: 6290/8871 (71%)


Test set: Average loss: 1.0913, Accuracy: 6037/8871 (68%)


Test set: Average loss: 1.0778, Accuracy: 6024/8871 (68%)


Test set: Average loss: 1.1008, Accuracy: 6205/8871 (70%)


Test set: Average loss: 1.0819, Accuracy: 6269/8871 (71%)


Test set: Average loss: 1.0809, Accuracy: 6189/8871 (70%)


Test set: Average loss: 1.0624, Accuracy: 6237/8871 (70%)


Test set: Average loss: 1.0750, Accuracy: 6143/8871 (69%)


Test set: Average loss: 1.0909, Accuracy: 6157/8871 (69%)


Test set: Average loss: 1.0683, Accuracy: 6180/8871 (70%)


Test set: Average loss: 1.0917, Accuracy: 6083/8871 (69%)


Test set: Average loss: 1.1075, Accuracy: 5972/8871 (67%)


Test set: Average loss: 1.0986, Accuracy: 6134/8871 (69%)


Test set: Average loss: 1.0923, Accuracy: 6113/8871 (69%)


Test set: Average loss: 1.0965, Accuracy: 6081/8871 (69%)


